*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ornamentv3_2e_encoders
*Date=08:58:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
424;;;12.7782;-27.3726;0;Bottom;Via69
425;;;55.3974;-89.2431;0;Bottom;Copper Fill117
426;;;20.1422;-75.5144;0;Bottom;Copper Fill227
427;;;20.1676;-15.1894;0;Bottom;Copper Fill294
428;;;13.3985;-97.8156;0;Bottom;Copper Fill13
429;adjustable;sot223;6.54812;-65.2902;180;Bottom;1117-5
430;;;32.8481;-52.0825;0;Bottom;Via51
431;;;46.5582;-41.9864;0;Bottom;Copper Fill270
432;220;0805 [SMD];31.4483;-43.1575;-90;Bottom;47k*
433;;;27.7368;-31.4454;0;Bottom;Copper Fill288
434;100nF;0805 [SMD, multilayer];29.8232;-76.3826;0;Bottom;470n
435;;;16.8402;-69.2406;0;Bottom;Copper Fill236
436;;;47.7901;-63.8812;0;Bottom;Copper Fill52
437;;;3.8989;-89.205;0;Bottom;Copper Fill62
438;220;0805 [SMD];32.7482;-54.7176;-90;Bottom;560p
439;;;58.8645;-69.9772;0;Bottom;Copper Fill111
440;;;6.4389;-73.9904;0;Bottom;Copper Fill60
441;;;34.7472;-33.1599;0;Bottom;Copper Fill135
442;;;12.0884;-29.5383;145;Bottom;IMG2
443;;;9.04832;-58.2827;0;Bottom;Via84
444;;;2.9845;-35.7126;0;Bottom;Copper Fill73
445;;;8.36817;-28.8525;0;Bottom;Via71
446;;;42.8244;-35.6491;0;Bottom;Copper Fill139
447;;;44.8564;-66.7387;0;Bottom;Copper Fill88
448;;;16.9483;-40.3827;0;Bottom;Via165
449;;PG203J [THT];14.9607;-7.61498;180;Bottom;CV2
450;;;49.7078;-12.9923;0;Bottom;Copper Fill189
451;;;3.04828;-35.9826;0;Bottom;Via68
452;1µF;100 mil [THT, electrolytic];60.0783;-60.1826;0;Bottom;C3
453;;;34.8482;-34.5825;0;Bottom;Via142
454;;;18.7452;-32.4487;0;Bottom;Copper Fill47
455;;;58.4048;-18.9262;0;Bottom;Hole3
456;;;43.2483;-81.9826;0;Bottom;Via125
457;;;51.1429;-81.9406;0;Bottom;Copper Fill59
458;;;44.45;-39.294;0;Bottom;Copper Fill279
459;;;42.0483;-80.0826;0;Bottom;Via87
460;;;33.0482;-33.4827;0;Bottom;Via13
461;220;0805 [SMD];21.4731;-51.8827;0;Bottom;75k
462;;;59.1693;-39.3956;0;Bottom;Copper Fill65
463;;;47.7483;-36.5826;0;Bottom;Via139
464;;;5.4737;-16.7388;0;Bottom;Copper Fill16
465;;THT;53.7681;-84.0026;90;Bottom;-12V
466;;;32.5374;-75.8954;0;Bottom;Copper Fill228
467;;;13.081;-64.2114;0;Bottom;Copper Fill242
468;;;27.3812;-76.4415;0;Bottom;Copper Fill161
469;;;59.2074;-12.9923;0;Bottom;Copper Fill190
470;;;6.5483;-66.3825;0;Bottom;Via135
471;;;51.8484;-54.4826;0;Bottom;Via61
472;;;8.36817;-25.9355;0;Bottom;Via64
473;;;44.0182;-74.2063;0;Bottom;Copper Fill56
474;;;26.0096;-60.1474;0;Bottom;Copper Fill251
475;;;27.5386;-35.5059;0;Bottom;IMG3
476;;;50.4444;-81.5342;0;Bottom;Copper Fill218
477;;;23.241;-60.8459;0;Bottom;Copper Fill94
478;;;25.9334;-65.6084;0;Bottom;Copper Fill239
479;;;42.0483;-79.0826;0;Bottom;Via93
480;220;0805 [SMD];26.2483;-43.1575;-90;Bottom;24k9
481;;;28.387;-94.5672;90;Bottom;TXT4
482;;;55.0418;-84.0234;0;Bottom;Copper Fill216
483;220;0805 [SMD];42.3483;-43.1575;-90;Bottom;100k
484;100nF;0805 [SMD, multilayer];46.5483;-75.2076;-90;Top;100n
485;;;58.4612;-6.98257;0;Bottom;Hole14
486;;;24.3919;-6.98257;0;Bottom;Hole13
487;;;47.1482;-57.1827;0;Bottom;Via17
488;;;32.2483;-45.0827;0;Bottom;Via154
489;;;43.2483;-35.5827;0;Bottom;Via151
490;;tssop16;42.4533;-72.8326;0;Bottom;DAC8565
491;;;56.1721;-58.217;0;Bottom;Copper Fill174
492;220;0805 [SMD];39.6482;-43.1575;-90;Bottom;18p
493;;;45.5482;-75.7826;0;Bottom;Via113
494;100nF;0805 [SMD, multilayer];43.3733;-66.6827;0;Top;10uF
495;;;27.2034;-98.0442;0;Bottom;Copper Fill203
496;;;25.2984;-53.1624;0;Bottom;Copper Fill257
497;;;51.7525;-54.0514;0;Bottom;Copper Fill84
498;;;58.8264;-39.7131;0;Bottom;Copper Fill66
499;;;32.1056;-17.6532;0;Bottom;Copper Fill300
500;;;32.6644;-15.6847;0;Bottom;Copper Fill29
501;;;49.0482;-38.7825;0;Bottom;Via132
502;;;56.2229;-86.1824;0;Bottom;Copper Fill191
503;;;23.6482;-90.7826;0;Bottom;Via158
504;;;34.8234;-41.3514;0;Bottom;Copper Fill276
505;;;7.74813;-80.8826;0;Bottom;Via74
506;;;13.97;-12.9923;0;Bottom;Copper Fill186
507;220;0805 [SMD];15.0232;-94.0826;0;Bottom;100n
508;;;32.1945;-45.644;0;Bottom;Copper Fill145
509;;SO 08 [SMD];40.36;-36.1093;180;Bottom;opa
510;;;7.91601;-32.7725;0;Bottom;TXT6
511;;;28.5496;-39.1162;0;Bottom;Copper Fill278
512;;;2.1082;-26.4162;0;Bottom;Copper Fill292
513;;;27.9883;-60.6327;0;Bottom;Via100
514;;;24.9809;-66.3958;0;Bottom;Copper Fill150
515;;;38.354;-76.124;0;Bottom;Copper Fill226
516;;;12.7782;-25.9327;0;Bottom;Via65
517;;;4.2037;-66.9292;0;Bottom;Copper Fill196
518;220;0805 [SMD];22.5481;-28.6575;-90;Bottom;100k
519;220;0805 [SMD];21.6481;-43.1575;-90;Bottom;18p
520;;;42.1482;-64.3826;0;Bottom;Via29
521;;;2.1209;-27.2036;0;Bottom;Copper Fill81
522;100nF;0805 [SMD, multilayer];41.3232;-82.3826;0;Bottom;100n
